new_id,ID2,Glottocode,Form,consonant,vowel,C description,V description
111,,arab1267,st̪aɭuka,,,,
112,,arab1267,aluka,,,,
113,,meta1238,ibəŋgɔ́p',,,,
114,,burm1266,a-ma,,,,
115,,oriy1255,mā,,,,
116,,mudu1242,titina-na,,,,
117,,bala1310,ina,,,,
118,,tong1321,bamaama,,,,
119,,spok1245,e-skoʼ-i,,,,
120,,atsu1245,tcitci,,,,
