"taxon","isocode","glottocode","xd_ids","soc_ids","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mMeB","mMyB","mFeB","mFyB","mF","mMeZ","mMyZ","mFeZ","mFyZ","mM"
"MALI",,"mali1284","","",0,,,,,,1,"chau","chau",,,"mamēk",,,,,"nanēk"
"COAST_TSIMSHIAN",,"nucl1649","xd1104","B289, Nb7, WNAI5",1,1,3,2,2,5,1,,,,,"aap; aab-; pˀaʔa; gwat; nagwaat",,,,,"nay; noo"
"MURRINH_PATHA_1",,"murr1258","","",1,11,6,10,5,5,1,"kaka","kaka","jile","jile","jile","kale","kale","pipi","pipi","kale"
"MURRINH_PATHA_2",,"murr1258","","",1,11,6,10,5,5,1,"kaka","kaka","jile","jile","jile","kale","kale","pipi","pipi","kale"
"GANGULIDA",,"gang1267","","",0,,,,,,1,"kakucu; kakutYu","kakucu","kaṋṱaṱu","kaṋṱaṱu; kan̪t̪at̪u","kaṋṱaṱu; kan̪t̪at̪u","ŋamaṱu; ŋamat̪u","ŋamaṱu; kapiɭicu; kapilitYu","ŋamaṱu; markat̪u","ŋamaṱu","ŋamaṱu; ŋamat̪u"
"GANGGALIDA",,"gang1267","","",0,,,,,,1,"kakucu; kakutYu","kakucu","kaṋṱaṱu","kaṋṱaṱu; kan̪t̪at̪u","kaṋṱaṱu; kan̪t̪at̪u","ŋamaṱu; ŋamat̪u","ŋamaṱu; kapiɭicu; kapilitYu","ŋamaṱu; markat̪u","ŋamaṱu","ŋamaṱu; ŋamat̪u"
"DJINGILI",,"djin1251","","",0,,,,,,1,"kanya","kanya","kirda; lala","kirda; lala","kirda; lala","jakardini","jakardini","lilirni","lilirni","jakardini"
"WAMBAYA",,"wamb1258","","",0,,,,,,1,,,,,"irda","gambaranya; garrangulinya; gujinganjarda; gujinya","gambaranya; garrangulinya; gujinganjarda; gujinya","barnangilinya; irdinya; iriyilina; iriyirda","barnangilinya; irdinya; iriyilina; iriyirda","gujinganjarda; gujinya"
"BUAN",,"ngal1292","","",0,,,,,,1,"nabacan; kaɖak","kaɖak","bulu","bulu","bulu","mulaʔ; moɭaʔ","naʔ","coŋok","coŋok","naʔ"
"GUNWINGGU_KUNE",,"gunw1252","xd939","B84",0,,,,,,1,"ŋacac","ŋacac","ŋabːaɖ","ŋabːaɖ","ŋabːaɖ","mulaʔ","garaɖ","beɭu","beɭu","garaɖ"
"GUNWINGGU_KUNINJKU",,"gunw1252","xd939","B84",0,,,,,,1,"ŋacac","ŋacac","ŋabːaɖ","ŋabːaɖ","ŋabːaɖ","mulaʔ","garaɖ","beɭu","beɭu","garaɖ"
"GUNWINGGU_KUNWINJKU",,"gunw1252","xd939","B84",0,,,,,,1,"ŋacac","ŋacac","ŋabːaɖ","ŋabːaɖ","ŋabːaɖ","mulaʔ","garaɖ","beɭu","beɭu","garaɖ"
"GUNWINGGU_GUN_DJEIHMI",,"gunw1252","xd939","B84",0,,,,,,1,"ŋacac","ŋacac","ŋabːaɖ","ŋabːaɖ","ŋabːaɖ","mulaʔ","garaɖ","beɭu","beɭu","garaɖ"
"GUNWINGGU_MANYALLALUK_MAYALI",,"gunw1252","xd939","B84",0,,,,,,1,"ŋacac","ŋacac","ŋabːaɖ","ŋabːaɖ","ŋabːaɖ","mulaʔ","garaɖ","beɭu","beɭu","garaɖ"
"KALA_LAGGAW_YA",,"kala1377","xd937","B82",0,,,,,,1,"wadwam","wadwam","tati","tati","tati","apu","apu","ngaibat; kutapu","ngaibat; kutapu","apu"
"YANYUWA",,"yany1243","","",0,,,,,,1,"tyakaka","tyatiya","winya","winya","katyakatya; winya","paRaTa","paRaTa","nana","nana","kutyaka; paRaTa"
"WAGAYA",,"waga1260","","",0,,,,,,1,"pileku","pileku","ukuthu; ukutyu; wakathuwa","ukuthu; ukutyu; wakathuwa","ngulinthu; ukuthu; ukutyu; wakathuwa","urtiki","urtiki","pernawurr","pernawurr","kununthu; kunyanthi; urtiki; wurtikiya"
"DJINANG",,"djin1253","","",0,,,,,,1,"kaykiy; gaykiy; gaykiy","kaykiy; gaykiy; gaykiy",,,"kunydyirri; nyunyang; tyirra; tyirrping; guɲɟiri; ɲaraka; djirra; djirrtjarr; gunydjirri; nyunyang",,,"papipi; pawupi; bapipi; bawupi; ɲaraka; bapipi; bawupi","papipi; pawupi; bapipi; bawupi; ɲaraka; bapipi; bawupi","mumngimi; ngambirri; ngirimigi; ama; mumŋimi; ŋiɹimigi; ama; ama; mumngimi; ngambirri; ngirimigi"
"RITHARNGU",,"rita1239","","",0,,,,,,1,"gaykay; gaykay","gaykay; gaykay","baapa; baːpa","baapa; baːpa","baapa; dyawurlpa; baːpa","ngaarnrdi","ngaarnrdi","mukul; mukul","mukul; mukul","ngaarnrdi; ŋaːɳdi; ŋaːɳɖi"
"GOMAIDJ",,"guma1253","","",0,,,,,,1,"gawal; nganakal; ngapipi","gawal; nganakal; ngapipi","baapa; gunhu\'; maarlu\'","baapa; gunhu\'; maarlu\'","baapa; dyawurlpa; gunhu\'; maarlu\'","ngaarnrdi; ngama\'","ngaarnrdi; ngama\'","mukul","mukul","ngaarnrdi; ngama\'"
"DJAMBARRPUYNGU",,"djam1256","","",0,,,,,,1,"kawal; nganakal; ngapipi; ngapipi\'","kawal; nganakal; ngapipi; ngapipi\'","kunhu'; maarlu'; muuri'; paapa","kunhu'; maarlu'; muuri'; paapa","kunhu'; maarlu'; muuri'; paapa; tyawurlpa","ngaarnrti; ngama'; ngamala; ngamu'","ngaarnrti; ngama'; ngamala; ngamu'","mukul; muukul","mukul; muukul","ngaarndi; ngaarnrti; ngama'; ngamala; ngamu'"
"GOBABINGO",,"gupa1247","","",0,,,,,,1,"nganakal; ngapipi; gawal; ŋanakal; ŋapipi; gawal","muuri\'","baapa; gunhu\'; maarlu\'; muuri\'; baːpa; gun̪u","baapa; gunhu\'; maarlu\'; muuri\'; baːpa; gun̪u","baapa; dyawurlpa; gunhu\'; maarlu\'; muuri\'; baːpa; gunhu; muːɹi","ngaarnrdi; ngama\'","ngaarnrdi; ngama\'","mukul","mukul","ngaarndi; ngaarnrdi; ngama\'"
"MANGGALILI",,"gupa1247","","",0,,,,,,1,"nganakal; ngapipi; gawal; ŋanakal; ŋapipi; gawal","muuri\'","baapa; gunhu\'; maarlu\'; muuri\'; baːpa; gun̪u","baapa; gunhu\'; maarlu\'; muuri\'; baːpa; gun̪u","baapa; dyawurlpa; gunhu\'; maarlu\'; muuri\'; baːpa; gunhu; muːɹi","ngaarnrdi; ngama\'","ngaarnrdi; ngama\'","mukul","mukul","ngaarndi; ngaarnrdi; ngama\'"
"MARARBA",,"gupa1247","","",0,,,,,,1,"nganakal; ngapipi; gawal; ŋanakal; ŋapipi; gawal","muuri\'","baapa; gunhu\'; maarlu\'; muuri\'; baːpa; gun̪u","baapa; gunhu\'; maarlu\'; muuri\'; baːpa; gun̪u","baapa; dyawurlpa; gunhu\'; maarlu\'; muuri\'; baːpa; gunhu; muːɹi","ngaarnrdi; ngama\'","ngaarnrdi; ngama\'","mukul","mukul","ngaarndi; ngaarnrdi; ngama\'"
"GUUGU_YIMIDHIR",,"gugu1255","","",0,,,,,,1,"mukakay; ngakumatharr; mugagay","mukur; mokuɹ; mugur","mukakay; mugagay","ngakumatharr; piipa; pepa; biiba; bobaa","ngakumatharr; piipa; pepa; biiba; bobaa","mukakay; ngakumatharr; mugagay","ngamu; ngulmpurr; ngamu","mukakay; mugagay","ngulmpurr; piimuur; pemoɹ; biimuur","ngamu; ngulmpurr; ŋamu; ngamu"
"KOKO_YALANDJI",,"kuku1273","xd946","B96",0,,,,,,1,"kalnga; kalnga","kalnga; kalnga","nganjan; mukay; mukay","nganjan; ngantyan; nganjan","nganjan; ngantyan; yuyku; nuntin; nganjan; nganjan","bimakay; bimay; mukay; ngamu; mukay; mukay; mukay","bimakay; bimay; mukay; ngamu; ngamu; ngamu","bimakay; bimay; mukay; pimakay; bimakay; bimay","bimakay; bimay; mukay; pimakay; bimakay; bimay","ngamu; kulal; mama; ngamu; namu; ngamu; ngamu"
"YIDINY",,"yidi1250","","",0,,,,,,1,"kalnga; gainga","kalnga; gainga","ngapil; pimpi; bimbi","ngapil; pimpi; bimbi","ngapil; pimpi; bimbi","mutyam; ngalpu; mujam","mutyam; ngalpu; mujam","tyutyum; jujum","tyutyum; jujum","mutyam; ngalpu; mujam"
"GUNYA",,"guny1241","","",0,,,,,,1,"kathiya; gad̪iya","kathiya; gad̪iya","yapu","yapu","yapu; yabu; yapu; yapunu; yabunu; yabu","yanga","yanga","yapurtu","yapurtu","yanga; yaŋa; yaŋanu; yaŋati; yangardi; yanganu; yanga"
"MARGANY",,"marg1253","","",0,,,,,,1,"kannganu; kanŋanu","kannganu; kanŋanu","yabu","yabu","yabu; yapu; yapunu; aboː; yapu; yapuʈi","yanga","yanga","wakan; wakan","wakan; wakan","yanga; yaŋa; yaŋanu; yaŋati; ammi"
"WARUNGU",,"waru1264","xd955","B107",0,,,,,,1,"kalnga; kalngina; galnga","kalnga; kalngina; galnga","gaya","gaya","kaya; gaya","yanga","yanga","pimu; pimurray; bimo","pimu; pimurray; bimo","yanga; yanga"
"BIRI",,"biri1256","","",0,,,,,,1,"kalŋa; kaŋa; mami; pulu; galŋa","kalŋa; kaŋa; mami; pulu; galŋa","kalŋa; kaŋa; mami; pulu; galŋa","kalŋa; kaŋa; mami; pulu; galŋa","yapu; wati; yaboːna; yapu; yabu","pipi; tapina; yaŋa; bibi","pipi; tapina; yaŋa; bibi","pipi; tapina; yaŋa; bibi","pipi; tapina; yaŋa; bibi","yanga; yaŋa; yaŋa"
"BIRRI_AUSTRALIA",,"biri1256","","",0,,,,,,1,"kalŋa; kaŋa; mami; pulu; galŋa","kalŋa; kaŋa; mami; pulu; galŋa","kalŋa; kaŋa; mami; pulu; galŋa","kalŋa; kaŋa; mami; pulu; galŋa","yapu; wati; yaboːna; yapu; yabu","pipi; tapina; yaŋa; bibi","pipi; tapina; yaŋa; bibi","pipi; tapina; yaŋa; bibi","pipi; tapina; yaŋa; bibi","yanga; yaŋa; yaŋa"
"WIRRI",,"biri1256","","",0,,,,,,1,"kalŋa; kaŋa; mami; pulu; galŋa","kalŋa; kaŋa; mami; pulu; galŋa","kalŋa; kaŋa; mami; pulu; galŋa","kalŋa; kaŋa; mami; pulu; galŋa","yapu; wati; yaboːna; yapu; yabu","pipi; tapina; yaŋa; bibi","pipi; tapina; yaŋa; bibi","pipi; tapina; yaŋa; bibi","pipi; tapina; yaŋa; bibi","yanga; yaŋa; yaŋa"
"DYIRBAL",,"dyir1250","","",0,,,,,,1,"muku; muyŋkal; bayi mugu","kaya; bayi gaya","pimu; bayi bimu","ŋuma; bayi ŋuma","ŋuma; bayi ŋuma; ŋuma; ngapil; wayupurr; ŋuma","mukunan; muyŋkal; balan mugunan","kinakir; yapu; balan yabu; yabu jarraga; jarraga","pimu; balan bimu","ŋalpan; balan ŋalban","kinakir; yapu; balan yabu; yabu; ngarmpu; wayupurr; yapu"
"NYAWAYGI",,"nyaw1247","","",0,,,,,,1,,,"bimu",,,"bimu","bimu","bimu","bimu","gura"
"WULGURU",,"wulg1239","","",0,,,,,,1,"kawa; kawa","kawa; kawa","apu; apu; kawa","apu; apu; kawa","apu; mukauy; apu","pulungku; kapakan; kayin; puluŋku","pulungku; kapakan; kayin; puluŋku","kami; kami; kapakan; kayin","kami; kami; kapakan; kayin","aka; kami; ami; imi; aka; kami; ami; imi"
"YUGAMBAL",,"yuga1244","","",0,,,,,,1,"kawaŋ","kawaŋ","bijaŋ; biyul; babaŋ; mahmaŋ","bijaŋ; biyul; babaŋ; mahmaŋ","bijaŋ; biyul; babaŋ; mahmaŋ","wadhuŋ; wayuŋ","wadhuŋ; wayuŋ","ŋaruny","ŋaruny","wadhuŋ; wayuŋ"
"YORTA_YORTA",,"yort1237","","",0,,,,,,1,"kangkapa","kangkapa",,,"kaya; kayu; nhunguy; papu; mama; kaiya; n̪uŋui; papu; mama; kaiya; n̪uŋui; papu",,,"kaka; papu","kaka; papu","kanha; nhanha; papa; napu; napu; kan̪a; n̪ann̪a; papa; napu; kan̪a; n̪ann̪a; papa"
"WATHAWURRUNG",,"wath1238","","",0,,,,,,1,"tandop","tandop","tandop","tandop","gurrau; pitjarr","baba-rrang","baba-rrang","baba-rrang","baba-rrang","ngardang"
"WOIWURRUNG",,"woiw1237","xd978","B134",0,,,,,,1,"kangkan; kankan","kangkan; kankan",,,"mama; mamun; maːma",,,"ngan","ngan","papa; paːpa"
"GUMBAYNGGIR",,"kumb1268","","",0,,,,,,1,"kawa","kawa","paali; paapa","paali; paapa","nyalikan; paali; paapa; baaba; baali",,,"parran","parran","ngaali; nyuuka; miimi; miimi"
"WANGAAYBUWAN_NGIYAMBAA",,"wang1291","xd784","B130, Id9",1,11,6,10,5,5,1,"kantoː","kantoː","kantoː","kantoː","paapaa; pabah; paapaa","koːnti","koːnti","koːnti","koːnti","kunii; koːneː; naŋoː; naɹki; nuki; kunii"
"GAMILARAAY",,"gami1243","xd970","B125",0,,,,,,1,"karuː; karru; garugi:","karuː; karru; garugi:","garugi:","garugi:","pupaː; puwacar; yukin; pinu; yapu; yuki; yukin; pupaː; puwacar; puwacar","walgan","walgan","kiluː; kamiyan; kilu; kitu; kamiyan","kiluː; kamiyan; kilu; kitu; kamiyan","kunicar; ngampa; ngampaa; gunii; ngambaa; kunicar; kunicar; ngampaa"
"WIRADHURI",,"wira1262","","",0,,,,,,1,"kunimpang; pakamakan; pakaɳayin; pakinaɹaŋ; pakkiɳ-Gan","kunimpang; pakamakan; pakaɳayin; pakinaɹaŋ; pakkiɳ-Gan","papiinpang; wumpany; wumpi; pakamakan; pakaɳayin; pakinaɹaŋ; pakkiɳ-Gan","papiinpang; wumpany; wumpi; pakamakan; pakaɳayin; pakinaɹaŋ; pakkiɳ-Gan","maaraa; mam; papa; papi; papiin; papin; thapungung; mama; mamu; paː-paː; papa; papayin; papi; påpi; papin; påpin; papina; pappi-ya; pappin; påppin; paupiː; poppiːn; puppa; mama; babeen; babiin","ngamurr; ngapaan; pityatya; påmmal; picayica; puman; punuwal","ngamurr; ngapaan; pityatya; påmmal; picayica; puman; punuwal","pamali; påmmal; picayica; puman; punuwal","pamali; påmmal; picayica; puman; punuwal","kuni; kunimpan; kunimpang; kuuni; kuutiila; ngama; papa; kani; kåni; kanipåŋ; koːn-niː; koːniː; kunai; kun̪i; kuni; kuniya; kuniyin; kunni; kunnim-paŋ; luniya; pakkiɳ-Gun; wiŋa-tan; guuni; gunhi"
"MURUWARI",,"muru1266","","",0,,,,,,1,"kathi","karrurany; karruwalany","karrampany; pathany","karrampany; pathany","pathany; yapu; yapu","puthama","puthama","mukimuki","mukimuki","mangany; kaya; kaya"
"KALKUTUNG",,"kalk1246","","",0,,,,,,1,"pupi; tyalatya","pupi; tyalatya","kurla; pitharta","kurla; pitharta","kurla","martu; ngarntarr; wupatyi","martu; ngarntarr; wupatyi","ngutyirr","ngutyirr","marnu; martu"
"YALARNNGA",,"yala1262","","",0,,,,,,1,"kurrirti; kuriʈi; kurrirti","kurrirti; kuriʈi; kurrirti","kuriʈi","kuriʈi","karlu; kaɭo; kaɭu; karlu","marnu; yaʈa; yimiʈi; marnu","marnu; yaʈa; yimiʈi; marnu","yimirti; yimiʈi; yimirti","yimirti; yimiʈi; yimirti","marnu; maɳu; meɳoː; marnu"
"KUUKU_YAU",,"kuuk1238","","",0,,,,,,1,"muka","kaala","piinya","piipi","piipi","muka","paapa","piinya'a","piima","paapa"
"WIK_MUNGKAN",,"wikm1247","xd781","B90, Id6",1,6,4,5,2,5,1,"muka","kaal; kala","piny; pinya","piip","piip","muka",,"piny wantyinth","piny",
"THAYORE",,"thay1249","","",0,,,,,,1,"ngan mokr","ngan kaala; pam kaal-mele","nganip","nganip","nganip","nganam","nganam; ngan nhangnam mantam","ngan pinhirr","ngan pinhirr","nganam"
"DARLING",,"darl1243","xd973","B128",0,,,,,,1,"paapatya; waakatya","paapatya; waakatya",,,"gambiji; kumbeya; gambidja; kampiya; kampitya; kampitya",,,"ŋarlu; ŋarludja","muŋgadja","hummugga; ummaka; ŋamaga; ngamaka; ngamaka"
"PITTA_PITTA",,"pitt1247","","",0,,,,,,1,"ngarlu; ŋaɭu","ngarlu; ŋaɭu","ngapiri; yapiri; yapiɹi","ngapiri; yapiri; yapiɹi","ngapiri; yapiri; apaɹi; yapiɹi","ngama; ngamari; ŋamaɹi","ngama; ngamari; ŋamaɹi","tyami; yami; cami; yami","tyami; yami; cami; yami","ngama; ngamari; ama; numma; ŋamaɹi"
"ARABANA",,"arab1267","","",0,,,,,,1,"kakaka; ngamakarti; kakaka","kakaka; ngamakarti; kakaka","apityi","apityi","apityi; nhiya; ainja; neia; apityi",,,"ngawili; ngawili","ngawili; ngawili","lhuka; aluka; st̪aɭuka; lhuka"
"WANGGANGURU",,"wang1290","","",0,,,,,,1,"kaga; kaka; ngamakarti; kaga","kaga; kaka; ngamakarti; kaga",,,"anya; nhiya; ainja; meːya; neia; aɲa; appureː; anya",,,"payayi; payayi","payayi; payayi","ama; aluka; loːka; st̪aɭuka; antɹi; umma; ama"
"YANDRUWANDHA",,"yand1253","","",0,,,,,,1,"ngama; ngama","ngama; ngama","ngapiri; ngapiri","ngapiri; ngapiri","ngapardi; ngapari; apaʈi; apaɹi; ngapiri; ngapiri","ngarndrri; yipi; ngarndri; yipi","ngarndrri; yipi; ngarndri; yipi","parli; parli","parli; parli","ngarndrri; undɹi; ngarndri; ngarndri"
"DIYARI",,"dier1241","xd779","B121, Id4",1,11,6,10,5,5,1,"kaka; ngandrii; waka; kaka; yandri waka","kaka; ngandrii; waka; kaka; yandri waka","ngapiri","ngapiri","apirie; ŋapiɾi; ŋapiɾi; ngapiri","will; titnaRa","will; titnaRa","will; yapa; papa; yapa","will; yapa; papa; yapa","antɹi; ŋandi; ngandrri; ŋandi; ngandrri"
"NGAMINI",,"ngam1265","","",0,,,,,,1,"kaka; kaka","kaka; kaka","ngapiri; ŋapiɾi pina","ngapiri; ŋapiɾi kulawaɖa","ngapiri; ŋapiɾi","ngandi; ŋandi pina","ngandi; ŋandi kulawaɖa","papa","papa","ngandi; ŋandi; st̪andɹi"
"MARTU_WANGKA",,"mart1256","xd958","B111",0,,,,,,1,"kaka; kamparnu; waputyu; kalyarra; waputyurra; kamuru; kamuru","kaka; kamparnu; waputyu; kalyarra; waputyurra; kamuru; kamuru","mama; mama","mama; mama","tati; tyapunyurra; mama; mama","yakurti; yipi","yakurti; yipi","kurntili; umari; wumari; yumari; yaparli","kurntili; umari; wumari; yumari; yaparli","ipi; mami; tilypu; yakurti; yipi"
"MANTJILTJARA",,"mart1256","xd958","B111",0,,,,,,1,"kaka; kamparnu; waputyu; kalyarra; waputyurra; kamuru; kamuru","kaka; kamparnu; waputyu; kalyarra; waputyurra; kamuru; kamuru","mama; mama","mama; mama","tati; tyapunyurra; mama; mama","yakurti; yipi","yakurti; yipi","kurntili; umari; wumari; yumari; yaparli","kurntili; umari; wumari; yumari; yaparli","ipi; mami; tilypu; yakurti; yipi"
"YULPARIJA",,"mart1256","xd958","B111",0,,,,,,1,"kaka; kamparnu; waputyu; kalyarra; waputyurra; kamuru; kamuru","kaka; kamparnu; waputyu; kalyarra; waputyurra; kamuru; kamuru","mama; mama","mama; mama","tati; tyapunyurra; mama; mama","yakurti; yipi","yakurti; yipi","kurntili; umari; wumari; yumari; yaparli","kurntili; umari; wumari; yumari; yaparli","ipi; mami; tilypu; yakurti; yipi"
"PINTUPI",,"pint1250","xd960","B113",0,,,,,,1,"nyamirni; kamuru; kamuru","nyamirni; kamuru; kamuru","mama; mama","mama; mama","mama; mama","ngunytju","ngunytju","kuntirli; kurntili; mama; yurntal; kun̪t̪ili","kuntirli; kurntili; mama; yurntal; kun̪t̪ili","maama; mimi; ngunytyu; yipi; ngunytju"
"NGAANYATJARRA",,"ngaa1240","xd965","B118",0,,,,,,1,"kamuru","kamuru","mama purlkanya","mama","mama; punarri; mama","ngunytyu","ngunytyu","kurntili; yumari","kurntili; yumari","ngunytyu; wangutyarra; ngunytju"
"WANGKA_WIRU",,"pitj1243","xd967, xd971","B120, B126",0,,,,,,1,"kamaru; kamuru; kulypal","kamaru; kamuru; kulypal","mama purlka","mama marlatya","mama; mamanmananyi; mara mama; nyuyul; tyina mama","ngunytyu purlka","ngunytyu marlatya","kurnti; kurntili","kurnti; kurntili","ngunytju; ngunytyu; ngunytyurritya; nyuyul"
"KARADJERI",,"kara1476","xd953","B104",0,,,,,,1,"kaga","kaga","tyapulu; djabalu","tyapulu; djabalu","tyapulu; djabalu","kurtany; kutari; kudang","kurtany; kutari; kudang","kamuru; ngunyarri; kamaru","kamuru; ngunyarri; kamaru","kurtany; kutari; kudang"
"NYANGUMARTA",,"nyan1301","","",0,,,,,,1,"kaka; kaka-; kurlu-kaka","kaka; kaka-; kurlu-kaka","tyapartu","tyapartu","mama; tyapartu","pipi","pipi","marruku; tyinartu","marruku; tyinartu","pipi"
"WARUMUNGU",,"waru1265","","",0,,,,,,1,"chest1; ngamirni","chest1; ngamirni","kampa; kampatya","kampa; kampatya","chin3; kampa; kampatya","karnanti","karnanti","kampa; piNaRi","kampa; piNaRi","chest1; karnanti"
"WARLPIRI",,"warl1254","xd773","B109, Id10",1,7,8,15,9,5,1,"ŋamiɳi; ngamirni","ŋamiɳi; ngamirni","ŋamiɳi; kirdana; wapirra","ŋamiɳi; kirdana; wapirra","kirda; parnara; pipi; tyatyi; wurruru; yarriki; kiʈana; wapirra; kiʈana; wapirra; kirdana","miyalu; ngati; parnman; ngatina; ngamardi","miyalu; ngati; parnman; ngatina; ngamardi","pimiʈi; pimirdi","pimiʈi; pimirdi","kardu; mama; miyalu; parnman; tyarnimirri; ŋamaʈi; ngati; ŋati; ŋamaʈi; ngati; ngatina"
"JARU",,"jaru1254","xd956","B108",0,,,,,,1,"ngamirni; ngawiyi; nyanyi; ŋamiɳi","ngamirni; ngawiyi; nyanyi; ŋamiɳi","ngawiyi; ŋawiji","ngawiyi; ŋawiji","ngawi; ngawiyi; ŋawiji","ngama; ŋamaji","ngama; ŋamaji","mukul; murrkul; mugul","mukul; murrkul; mugul","ngama; ŋamaji"
"GURINDJI",,"guri1247","","",0,,,,,,1,"kaka; ngamini; ngamirni","kaka; ngamini; ngamirni","ngatyi","ngatyi","ngapu; ngatyi",,,"mukul","mukul","ngama"
"NGARINMAN_BILINARA",,"ngar1235","","",0,,,,,,1,"kaka; ngamirni","kaka; ngamirni","ngatyi","ngatyi","ngatyi; ngatyi","ngamarnti; ngamayi","ngamarnti; ngamayi","mukurl; mukurla","mukurl; mukurla","ngamarnti; ngamayi; ngamayi; ngatinyan"
"NHANDA",,"nhan1238","","",0,,,,,,1,"pi'i","pi'i",,,"ama; ama; amma","kaggajitee","kaggajitee","kaggajitee; kagadyiti","kaggajitee; kagadyiti","agu; agu; aːku"
"BADIMAYA",,"badi1246","","",0,,,,,,1,"ganggu","ganggu","ganggu","ganggu","mama; mama","manggan","manggan","mangkan; manggan","mangkan; manggan","pipi; bibi"
"WAJARRI",,"waja1257","","",0,,,,,,1,"kamparnu; kangku","kamparnu; kangku","mama","mama","mama","yaku","yaku","tyurtu","tyurtu","yaku"
"NGADJUNMAYA",,"ngad1258","xd976","B132",0,,,,,,1,"kangku; kangku","kangku; kangku","mamalu kunminyu; mamalu kunminyu","mamalu kunminyu; mamalu kunminyu","mama; mumalu; mumma; mama",,,"puyu","puyu","yaku; yakal; yakaloː; jagu"
"NGALOOMA",,"ngar1287","","",0,,,,,,1,"kaka","kaka",,,"maman; mamarti; tyapu; mama; mama",,,"mukul; thuwa","mukul; thuwa","ngangka; ngangkarti; ŋaɳka"
"YINDJIBARNDI",,"yind1247","","",0,,,,,,1,"kurntakarra; mimi","kurntakarra; mimi","yumini; yumuni","mama","kunayi; mama; marnti-; papu","yayu","kamayi","nyirti","nyirti","kamayi; ngangka"
"WIRANGU",,"wira1265","","",0,,,,,,1,"kamuru; pangunu; bangunu; pungaroo; gamuRu","kamuru; pangunu; bangunu; pungaroo; gamuRu","kany; kine; gany","kany; kine; gany","mama; muma; mumma; mumaardu; mumaarda; mama; muma","kangkiya; kongeah; ganggiya","kangkiya; kongeah; ganggiya","kangkiya; kurntili; warrngu; kongeah; ganggiya; gurndili","kangkiya; kurntili; warrngu; kongeah; ganggiya; gurndili","apupaltha; mara-nguntyu; nguntyu; wiya; weːa; weːya; wiya"
"KAURNA",,"kaur1267","xd974","B129",0,,,,,,1,"kawawa","kawawa",,,"yarli; yarlimeyu; yarlitha; ŋayiceɭi; yeɭimeya; yeɭimeyu; yeɭita","buɳowe; ŋaɹpadla","buɳowe; ŋaɹpadla","buɳowe; ŋaɹpadla","buɳowe; ŋaɹpadla","arattina; kangka-; ngangki; ngangkitha; kaŋgalaŋgala; ŋaŋkita; ŋaŋkimeyu"
"ADNYAMATHANHA",,"adny1235","","",0,,,,,,1,"ngamarna","ngamarna","ngarlu; upmarli papi","upmarli ngamarni","papi; papie","ngami; ngarlaami; ngarlami","watnaami; watnhami","artaapi; artu-papi; ataapi","artaapi; artu-papi; ataapi","ngami; ami; ŋummie"
"ALYAWARRA",,"alya1239","xd964","B117",0,,,,,,1,"apmarle; apmalatja; apmaliya","apmarle; apmalatja; apmaliya","akngiya","akngiya","akngeye; akngiya","amatja; amiya","amatja; amiya","awenhe; awuniya","awenhe; awuniya","ame; amatja; amiya"
"ALYAWARR_ALYAWARA",,"alya1239","xd964","B117",0,,,,,,1,"apmarle; apmalatja; apmaliya","apmarle; apmalatja; apmaliya","akngiya","akngiya","akngeye; akngiya","amatja; amiya","amatja; amiya","awenhe; awuniya","awenhe; awuniya","ame; amatja; amiya"
"ALYAWARR_MACDONALDDOWNS_ALYAWARA",,"alya1239","xd964","B117",0,,,,,,1,"apmarle; apmalatja; apmaliya","apmarle; apmalatja; apmaliya","akngiya","akngiya","akngeye; akngiya","amatja; amiya","amatja; amiya","awenhe; awuniya","awenhe; awuniya","ame; amatja; amiya"
"KOMBA",,"komb1273","","",0,,,,,,1,"jejac","jejac","awong","awong","awong","mange","mange","tawac","tawac","mange"
"KALAM",,"kala1397","","",0,,,,,,1,"bpap","bpap","bwow; buow","bwow; buow","bapi","amkan","amkan","awal","awal","ami"
"KYAKA_ENGA",,"kyak1244","","",0,,,,,,1,"apa; apange","apa; apange","apa; apange","apa; apange","rakane; rakange","anyi","anyi","arange; ata","arange; ata","anyi; endangi"
"KEWA_EAST",,"east2516","","",0,,,,,,1,"yaake; awa","yaake; awa","mai","mai","aapa","papa","papa","arombo","arombo","ama"
"KEWA",,"west2599","","",0,,,,,,1,"yaake; awa","yaake; awa","mae","mae","aapa","papa","papa","arombo","arombo","ama"
"POLE",,"erav1244","","",0,,,,,,1,"yaake; awa","yaake; awa","mae","mae","aapa","papa","papa","arobo","arobo","ama"
"KEWA_S_POLE",,"erav1244","","",0,,,,,,1,"yaake; awa","yaake; awa","mae","mae","aapa","papa","papa","arobo","arobo","ama"
"TIDORE",,"tido1248","","",0,,,,,,1,"papa njira; joema","papa djodjo; joema","papa njira; joema","papa djodjo; joema","papa; papa","im; djodjo","im; djodjo","im; djodjo","im; djodjo","jaja; jaja"
"PAGU",,"pagu1249","","",0,,,,,,1,"o pepa","o pepa","o pepa","o pepa","aja","oa","oa","oa","oa","aila"
"MADOLE",,"modo1249","","",0,,,,,,1,"èmama","èmama","èmama","èmama","ngoa ngowea","òa","òa","òa","òa","jai eha"
"MODOLE",,"modo1249","","",0,,,,,,1,"èmama","èmama","èmama","èmama","ngoa ngowea","òa","òa","òa","òa","jai eha"
