"taxon","isocode","glottocode","xd_ids","soc_ids","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mMeB","mMyB","mFeB","mFyB","mF","mMeZ","mMyZ","mFeZ","mFyZ","mM"
"ZULU",,"zulu1248","xd13","Ab12",1,7,8,15,9,5,1,"u-mä-lǔ´-mä; malume","u-mä-lǔ´-mä; malume","u-bä-bä-kä´-sa; baba omukulu","u-bä-bä-kä´-sa; baba omncane","u-bä'-bä; baba","u-mä´-mä kä´-ze; u-mä´-mä; mame","u-mä´-mä kä´-ze; u-mä´-mä; mame","u-bä´-bä; babakazi","u-bä´-bä; babakazi","u-mä´-me; mame"
"ZULU_NKANDLA",,"zulu1248","xd13","Ab12",1,7,8,15,9,5,1,"u-mä-lǔ´-mä; malume","u-mä-lǔ´-mä; malume","u-bä-bä-kä´-sa; baba omukulu","u-bä-bä-kä´-sa; baba omncane","u-bä'-bä; baba","u-mä´-mä kä´-ze; u-mä´-mä; mame","u-mä´-mä kä´-ze; u-mä´-mä; mame","u-bä´-bä; babakazi","u-bä´-bä; babakazi","u-mä´-me; mame"
"ZULU_2",,"zulu1248","xd13","Ab12",1,7,8,15,9,5,1,"u-mä-lǔ´-mä; malume","u-mä-lǔ´-mä; malume","u-bä-bä-kä´-sa; baba omukulu","u-bä-bä-kä´-sa; baba omncane","u-bä'-bä; baba","u-mä´-mä kä´-ze; u-mä´-mä; mame","u-mä´-mä kä´-ze; u-mä´-mä; mame","u-bä´-bä; babakazi","u-bä´-bä; babakazi","u-mä´-me; mame"
"LAMBA_2",,"lamb1271","xd71","Ac5",1,1,3,2,2,5,1,"mwinsyo","mwinsyo","tata","tata","tata","mama","mama","tatankasi","tatankasi","mama"
"LAMBA",,"lamb1271","xd71","Ac5",1,1,3,2,2,5,1,"mwinsyo","mwinsyo","tata","tata","tata","mama","mama","tatankasi","tatankasi","mama"
"M52_LALA",,"lala1264","xd59","Ac33",1,6,4,15,9,5,1,"umwisyo","umwisyo","nyinalume","nyinalume","wata","wama munini","wama munini","wawo","wawo","wama"
"M40TEMBA",,"bemb1257","","",0,,,,,,1,"yama","yama","tata mukalamba","tata mwaice","tata","mayo mukalamba","mayo mwaice","mayosenge","mayosenge","yangu; mayo"
"BEMBA",,"bemb1257","","",0,,,,,,1,"yama","yama","tata mukalamba","tata mwaice","tata","mayo mukalamba","mayo mwaice","mayosenge","mayosenge","yangu; mayo"
"BEMBA_1",,"bemb1257","","",0,,,,,,1,"yama","yama","tata mukalamba","tata mwaice","tata","mayo mukalamba","mayo mwaice","mayosenge","mayosenge","yangu; mayo"
"BEMBA_2",,"bemb1257","","",0,,,,,,1,"yama","yama","tata mukalamba","tata mwaice","tata","mayo mukalamba","mayo mwaice","mayosenge","mayosenge","yangu; mayo"
