Options:
Model:                           Discrete: Independent
Tree File Name:                  ./processed_data/mXpermitted.bttrees
Data File Name:                  ./processed_data/mXpermitted.btdata
Log File Name:                   ./results/mXpermitted-indep-1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3664068385
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./results/mXpermitted-indep-1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
110000	-47.734026	70	14.899613	1.163148	1.224449	1.069416	0.438771	0.061389	0.438490	0.061350	
111000	-48.626257	54	20.594635	1.502626	0.818240	0.669214	0.473416	0.026590	0.473405	0.026589	
112000	-51.471503	100	8.591624	0.355389	4.527665	5.135708	0.260694	0.255330	0.244504	0.239473	
113000	-48.375677	32	11.408281	2.595430	1.887542	0.163674	0.496069	0.002254	0.499407	0.002269	
114000	-46.826279	40	19.047670	1.753626	0.457888	2.856962	0.146144	0.353863	0.146140	0.353853	
115000	-46.682061	61	27.731604	4.640996	1.545536	0.791733	0.468917	0.031083	0.468917	0.031083	
116000	-49.079613	45	16.605616	3.526239	1.011064	3.688877	0.199830	0.300133	0.199860	0.300177	
117000	-49.476254	88	4.331054	1.045206	1.927573	5.722633	0.175470	0.217979	0.270509	0.336041	
118000	-47.593231	47	82.214088	9.579741	1.138235	3.375342	0.205676	0.294324	0.205676	0.294324	
119000	-46.868378	63	12.202430	0.650728	1.466590	0.047178	0.500038	0.000423	0.499118	0.000422	
120000	-47.572863	82	1.070398	0.606535	0.281802	2.540349	0.016329	0.062607	0.190536	0.730528	
121000	-47.168364	19	32.996345	4.305858	1.759560	0.693938	0.472710	0.027290	0.472710	0.027290	
122000	-47.282795	2	3.783053	0.761007	0.890918	4.012338	0.129959	0.228056	0.233040	0.408945	
123000	-48.304142	32	9.702348	1.062568	3.337811	6.082422	0.243258	0.250041	0.249867	0.256834	
124000	-49.542727	51	14.531914	1.954760	3.369751	2.024396	0.308048	0.191925	0.308081	0.191945	
125000	-48.880930	80	11.169099	0.895023	1.199015	2.331451	0.263290	0.236336	0.263685	0.236690	
126000	-48.429312	4	10.843200	2.074646	0.938983	2.660119	0.217758	0.280214	0.219532	0.282496	
127000	-47.418115	48	18.072888	2.137287	0.501960	2.217443	0.178032	0.321965	0.178034	0.321969	
128000	-47.561512	38	15.603083	1.774394	0.764740	3.045057	0.194531	0.305458	0.194540	0.305472	
129000	-46.758218	70	22.004115	2.024279	1.961905	0.145659	0.497193	0.002808	0.497191	0.002808	
130000	-48.999486	82	18.879693	3.570716	1.944667	2.789737	0.281311	0.218679	0.281322	0.218688	
131000	-48.244783	59	19.731009	2.095162	2.676267	1.136245	0.428918	0.071083	0.428916	0.071083	
132000	-47.006789	77	8.055673	1.005886	2.089654	1.208972	0.412843	0.069012	0.443935	0.074210	
133000	-50.384765	71	18.887764	1.976522	0.220944	5.574502	0.078057	0.421944	0.078057	0.421942	
134000	-46.932471	36	7.635951	1.245209	1.318002	0.568807	0.460021	0.020943	0.496435	0.022601	
135000	-48.404954	30	15.074414	1.191226	1.197679	2.293629	0.276457	0.223590	0.276405	0.223548	
136000	-47.755547	94	6.466592	1.122012	1.676111	3.406036	0.216218	0.243266	0.254349	0.286167	
137000	-49.004523	76	24.081980	3.212271	2.096447	2.364678	0.312507	0.187493	0.312507	0.187493	
138000	-51.993067	35	2.748015	0.854100	6.989770	7.620502	0.142187	0.141968	0.358198	0.357648	
139000	-47.567012	64	6.593991	0.791300	1.074334	3.416842	0.185143	0.285377	0.208343	0.321138	
140000	-47.731367	77	6.951198	1.492824	0.732276	3.973490	0.143994	0.326792	0.161865	0.367349	
141000	-49.115365	92	14.623000	0.467048	1.886562	2.392485	0.312972	0.188615	0.310992	0.187422	
142000	-46.912033	46	14.414473	1.484274	1.011713	0.257807	0.494685	0.005245	0.494823	0.005246	
143000	-48.111558	4	4.657600	0.319329	0.781912	3.279227	0.141132	0.258025	0.212443	0.388401	
144000	-49.612161	29	13.326966	2.171157	3.231839	5.022928	0.249630	0.250276	0.249723	0.250370	
145000	-49.404768	20	13.253224	1.260591	4.072964	4.788649	0.255281	0.244589	0.255414	0.244716	
146000	-46.645840	75	12.769563	0.618942	2.002628	0.446092	0.485676	0.017707	0.479148	0.017469	
147000	-47.310638	48	22.457661	3.019696	0.944805	2.784461	0.207660	0.292340	0.207660	0.292340	
148000	-47.191408	71	3.667314	0.848653	0.633661	3.053346	0.124219	0.249670	0.208016	0.418095	
149000	-49.676671	48	18.921368	4.743898	1.991116	3.398660	0.250787	0.249212	0.250788	0.249213	
