Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
829	0.270205	171	0.654971	1.847170	829	0.270205	0.336000	0.353619	
833	0.291717	167	0.604790	1.847170	833	0.291717	0.344000	0.353611	
824	0.319175	176	0.642045	1.847170	824	0.319175	0.376000	0.353630	
832	0.287260	168	0.601190	1.847170	832	0.287260	0.340000	0.353619	
837	0.327360	163	0.521472	1.847170	837	0.327360	0.359000	0.353623	
817	0.301102	183	0.633880	1.847170	817	0.301102	0.362000	0.353630	
835	0.329341	165	0.648485	1.847170	835	0.329341	0.382000	0.353654	
826	0.260291	174	0.574713	1.847170	826	0.260291	0.315000	0.353622	
836	0.297847	164	0.603659	1.847170	836	0.297847	0.348000	0.353617	
825	0.307879	175	0.611429	1.847170	825	0.307879	0.361000	0.353623	
855	0.294737	145	0.531034	1.847170	855	0.294737	0.329000	0.353602	
847	0.284534	153	0.686275	1.847170	847	0.284534	0.346000	0.353596	
839	0.328963	161	0.627329	1.847170	839	0.328963	0.377000	0.353616	
828	0.297101	172	0.616279	1.847170	828	0.297101	0.352000	0.353614	
804	0.307214	196	0.698980	1.847170	804	0.307214	0.384000	0.353640	
834	0.303357	166	0.656627	1.847170	834	0.303357	0.362000	0.353647	
847	0.283353	153	0.529412	1.847170	847	0.283353	0.321000	0.353619	
845	0.299408	155	0.548387	1.847170	845	0.299408	0.338000	0.353606	
849	0.247350	151	0.615894	1.847170	849	0.247350	0.303000	0.353564	
827	0.291415	173	0.658960	1.847170	827	0.291415	0.355000	0.353565	
803	0.283935	197	0.563452	1.847170	803	0.283935	0.339000	0.353553	
846	0.312057	154	0.551948	1.847170	846	0.312057	0.349000	0.353549	
833	0.320528	167	0.628743	1.847170	833	0.320528	0.372000	0.353564	
825	0.295758	175	0.634286	1.847170	825	0.295758	0.355000	0.353566	
838	0.329356	162	0.697531	1.847170	838	0.329356	0.389000	0.353595	
838	0.301909	162	0.617284	1.847170	838	0.301909	0.353000	0.353595	
861	0.310105	139	0.539568	1.847170	861	0.310105	0.342000	0.353585	
857	0.318553	143	0.615385	1.847170	857	0.318553	0.361000	0.353591	
847	0.322314	153	0.581699	1.847170	847	0.322314	0.362000	0.353598	
844	0.270142	156	0.641026	1.847170	844	0.270142	0.328000	0.353577	
838	0.285203	162	0.574074	1.847170	838	0.285203	0.332000	0.353559	
802	0.339152	198	0.621212	1.847170	802	0.339152	0.395000	0.353593	
823	0.307412	177	0.525424	1.847170	823	0.307412	0.346000	0.353587	
854	0.318501	146	0.630137	1.847170	854	0.318501	0.364000	0.353596	
846	0.300236	154	0.623377	1.847170	846	0.300236	0.350000	0.353593	
851	0.277321	149	0.671141	1.847170	851	0.277321	0.336000	0.353578	
840	0.313095	160	0.625000	1.847170	840	0.313095	0.363000	0.353586	
826	0.312349	174	0.701149	1.847170	826	0.312349	0.380000	0.353608	
824	0.269417	176	0.573864	1.847170	824	0.269417	0.323000	0.353582	
835	0.313772	165	0.709091	1.847170	835	0.313772	0.379000	0.353604	
828	0.318841	172	0.616279	1.847170	828	0.318841	0.370000	0.353617	
827	0.308343	173	0.583815	1.847170	827	0.308343	0.356000	0.353619	
846	0.276596	154	0.636364	1.847170	846	0.276596	0.332000	0.353601	
834	0.328537	166	0.620482	1.847170	834	0.328537	0.377000	0.353620	
819	0.323565	181	0.712707	1.847170	819	0.323565	0.394000	0.353654	
833	0.278511	167	0.604790	1.847170	833	0.278511	0.333000	0.353637	
837	0.295102	163	0.564417	1.847170	837	0.295102	0.339000	0.353625	
841	0.292509	159	0.603774	1.847170	841	0.292509	0.342000	0.353615	
840	0.294048	160	0.775000	1.847170	840	0.294048	0.371000	0.353629	
