Options:
Model:                           Discrete: Independent
Tree File Name:                  ./processed_data/fXpermitted.bttrees
Data File Name:                  ./processed_data/fXpermitted.btdata
Log File Name:                   ./results/fXpermitted-indep-1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2430951605
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./results/fXpermitted-indep-1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
160000	-56.170046	44	7.916115	1.398925	5.838335	4.314282	0.253321	0.246359	0.253646	0.246675	
161000	-54.070866	78	6.446428	2.229111	1.978740	0.050451	0.481830	0.000286	0.517576	0.000307	
162000	-54.399360	95	0.932940	1.076267	1.811836	4.442335	0.052115	0.061095	0.408223	0.478566	
163000	-52.233572	32	6.363536	1.496892	2.568306	1.681091	0.374042	0.106080	0.405014	0.114864	
164000	-54.576889	52	9.668381	1.187523	2.171397	1.509827	0.380028	0.123054	0.375371	0.121546	
165000	-52.959261	35	19.626483	3.802387	1.818513	1.923183	0.371675	0.128325	0.371675	0.128325	
166000	-53.577398	56	23.809352	4.823238	0.040568	2.417352	0.044456	0.455544	0.044456	0.455544	
167000	-53.993407	51	25.950258	4.982901	2.217247	2.160384	0.311438	0.188562	0.311438	0.188562	
168000	-53.898112	48	5.913839	0.945081	1.913598	5.501672	0.222375	0.264443	0.234418	0.278764	
169000	-53.296930	75	10.551979	2.136987	2.714979	3.920263	0.254937	0.244288	0.255728	0.245047	
170000	-54.229450	42	8.461150	1.421556	2.605872	3.941740	0.251162	0.249443	0.250555	0.248840	
171000	-53.525426	40	11.233525	2.500837	1.443212	4.457824	0.204521	0.295041	0.204880	0.295558	
172000	-54.277709	91	18.827299	4.463938	0.358720	2.530502	0.165305	0.334693	0.165306	0.334696	
173000	-52.099206	48	4.321160	1.319463	0.887070	3.394802	0.164868	0.276770	0.208442	0.349919	
174000	-50.955506	35	3.223632	0.996791	1.258795	0.125927	0.369619	0.000926	0.627882	0.001573	
175000	-53.807241	63	10.892005	3.102980	1.913563	1.628829	0.355192	0.144573	0.355526	0.144709	
176000	-54.986254	16	20.312701	2.450136	1.854396	1.416551	0.427907	0.072114	0.427871	0.072108	
177000	-54.515458	63	23.823607	2.807391	3.071213	4.432732	0.250900	0.249101	0.250899	0.249100	
178000	-53.982575	50	3.740597	1.892641	1.618540	2.780286	0.230410	0.185221	0.323951	0.260417	
179000	-52.647672	13	2.847789	1.082178	1.995172	2.175481	0.237109	0.125676	0.416470	0.220744	
180000	-52.293700	41	10.970172	2.174641	0.092846	3.122967	0.038339	0.461386	0.038381	0.461894	
181000	-54.009662	16	10.955980	1.695053	2.756446	3.793421	0.267903	0.233976	0.265897	0.232224	
182000	-53.270799	82	13.694616	3.221876	0.856137	3.701069	0.161309	0.338583	0.161379	0.338729	
183000	-53.035528	47	19.587331	2.899664	0.430982	3.836247	0.123461	0.376545	0.123458	0.376536	
184000	-54.254555	75	17.357236	1.000891	1.381097	0.106311	0.499660	0.001034	0.498275	0.001031	
185000	-54.703462	95	0.591702	1.051726	2.680489	3.161189	0.030088	0.024807	0.518009	0.427096	
186000	-53.592386	24	9.850058	2.530250	0.410262	2.225477	0.166951	0.332067	0.167608	0.333374	
187000	-56.360375	71	7.550613	1.763868	4.160571	2.256137	0.305225	0.188797	0.312612	0.193366	
188000	-52.890415	77	37.462024	6.609081	1.465493	0.698732	0.471180	0.028820	0.471180	0.028820	
189000	-53.051642	34	10.763534	1.616023	0.452273	2.706489	0.152507	0.348862	0.151674	0.346956	
190000	-54.856667	64	7.886702	1.245755	0.574917	4.933324	0.138312	0.360588	0.138922	0.362178	
191000	-55.027804	86	11.203102	0.937877	0.590099	4.806788	0.165553	0.339588	0.162183	0.332676	
192000	-53.747235	3	17.652554	2.892984	2.136350	0.812544	0.449286	0.050718	0.449278	0.050717	
193000	-51.703851	96	1.372893	0.825460	2.170824	1.103179	0.124324	0.018098	0.748606	0.108973	
194000	-55.045455	98	1.771167	1.637271	1.119557	1.102897	0.205192	0.027035	0.678392	0.089381	
195000	-52.348382	44	13.087240	1.569712	1.784866	1.856548	0.347613	0.152739	0.347124	0.152524	
196000	-54.958795	10	11.962942	3.561193	1.890142	1.298147	0.411293	0.088492	0.411648	0.088568	
197000	-52.444730	46	5.355741	0.565520	1.118157	3.076857	0.219876	0.296179	0.206195	0.277750	
198000	-54.811819	28	8.377250	2.760044	3.543721	3.558252	0.263703	0.233385	0.266792	0.236119	
199000	-51.684139	61	0.030227	1.246517	0.000069	2.438674	0.000000	0.000120	0.000069	0.999811	
200000	-55.309074	10	51.484493	14.515959	1.589543	4.133408	0.223208	0.276792	0.223208	0.276792	
201000	-54.376564	66	6.540471	1.269974	2.412729	4.684297	0.232575	0.255282	0.244153	0.267990	
202000	-52.937217	25	5.051865	1.394342	1.427826	0.895128	0.410065	0.035003	0.511289	0.043643	
203000	-54.104622	86	1.312712	0.489797	1.722571	0.593902	0.155915	0.011270	0.776674	0.056141	
204000	-52.164541	61	11.514546	1.470414	1.382237	1.394452	0.423150	0.079076	0.419399	0.078375	
205000	-55.927583	27	14.678644	4.547176	2.005779	4.656119	0.231387	0.268602	0.231397	0.268614	
206000	-54.340597	12	3.302775	1.520114	1.938168	2.318477	0.251133	0.145965	0.381288	0.221614	
207000	-52.224743	75	0.943158	1.260722	1.921901	0.206389	0.094213	0.000849	0.896859	0.008080	
208000	-53.444763	29	0.716072	0.717404	2.257345	1.207510	0.065463	0.018793	0.711488	0.204256	
209000	-53.873911	28	10.243492	1.566787	0.845545	1.762286	0.293832	0.206780	0.293114	0.206275	
210000	-51.265278	46	4.158626	1.061686	1.018825	3.183375	0.174637	0.256705	0.230231	0.338426	
211000	-52.594144	17	0.983998	0.842447	1.739840	4.718186	0.034735	0.046546	0.392610	0.526108	
212000	-52.974620	35	16.139297	3.141735	1.436734	2.031931	0.354291	0.145705	0.354297	0.145707	
213000	-52.924365	32	3.596798	0.708840	1.721563	5.494371	0.171264	0.227867	0.257828	0.343041	
214000	-54.429103	20	13.616366	3.867014	1.447565	3.781450	0.227506	0.272390	0.227600	0.272503	
215000	-54.411057	42	3.653019	1.568176	2.131135	2.276061	0.257758	0.151318	0.372341	0.218583	
