Options:
Model:                           Discrete: Independent
Tree File Name:                  ./ccm/data/bt_data/fXpermitted.bttrees
Data File Name:                  ./ccm/data/bt_data/fXpermitted.btdata
Log File Name:                   ./ccm/bt_output/fXpermitted-indep-2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2613100307
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./ccm/bt_output/fXpermitted-indep-2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
80000	-57.207491	57	14.943989	5.269151	2.819613	0.019829	0.499896	0.000091	0.499922	0.000091	
81000	-51.598291	57	9.159101	1.664670	0.768583	2.342933	0.260957	0.238540	0.261483	0.239021	
82000	-51.651059	57	2.183292	1.284958	1.074859	3.089869	0.138518	0.155657	0.332351	0.373474	
83000	-57.380091	75	47.753798	16.068028	0.486515	0.070157	0.499679	0.000321	0.499679	0.000321	
84000	-53.979913	40	7.697546	1.669166	2.703453	5.214574	0.236511	0.256851	0.242875	0.263763	
85000	-52.805698	74	3.828786	1.084204	0.555698	2.299473	0.159984	0.251876	0.228458	0.359681	
86000	-52.906689	91	4.338393	0.959080	2.207715	0.187022	0.425572	0.003742	0.565712	0.004974	
87000	-52.996878	46	21.115653	4.088677	1.769538	0.828194	0.453244	0.046756	0.453244	0.046756	
88000	-52.649062	75	7.979943	0.945075	1.426243	4.093231	0.207977	0.305381	0.197154	0.289488	
89000	-50.663617	61	6.462795	0.868380	0.095271	2.203062	0.046337	0.451914	0.046662	0.455086	
90000	-52.663308	96	0.746377	0.589801	1.097148	2.865459	0.023296	0.029164	0.420775	0.526765	
91000	-55.686400	89	8.033177	0.831499	2.699470	0.517142	0.511256	0.022635	0.446348	0.019761	
92000	-51.044989	44	3.092147	0.777508	1.581645	1.223111	0.317542	0.072082	0.497454	0.112922	
93000	-52.024535	82	1.780357	0.739326	0.635890	2.673335	0.062904	0.129285	0.264399	0.543413	
94000	-54.423373	41	20.865890	1.983252	0.658939	3.977178	0.145281	0.354731	0.145274	0.354714	
95000	-51.884547	32	3.841290	1.135713	1.130706	2.387327	0.215191	0.187692	0.318937	0.278180	
96000	-53.050274	34	5.032042	1.245987	0.226380	2.241735	0.109965	0.332592	0.138511	0.418931	
97000	-54.707292	100	4.588763	1.140024	0.178819	4.341744	0.052475	0.389559	0.066238	0.491728	
98000	-59.092243	46	26.491222	10.686272	5.261199	5.292317	0.252114	0.247886	0.252114	0.247886	
99000	-52.860380	70	34.562814	4.280164	1.556511	0.269320	0.492618	0.007382	0.492618	0.007382	
100000	-53.116162	92	4.732306	1.395565	2.327858	3.496817	0.240880	0.219962	0.281816	0.257342	
101000	-54.540425	63	10.873308	2.884525	2.508839	0.217749	0.487630	0.012125	0.488108	0.012137	
102000	-51.167656	59	6.886085	1.478360	1.739950	0.110078	0.485652	0.001095	0.512098	0.001155	
103000	-54.389477	47	1.420043	1.415809	2.524498	0.852451	0.148699	0.014743	0.761100	0.075458	
104000	-53.327670	75	1.644797	1.123579	0.886632	1.453364	0.146253	0.047622	0.608115	0.198011	
105000	-52.223676	19	9.731977	2.277449	0.677190	3.857192	0.139489	0.358518	0.140605	0.361388	
106000	-61.133417	22	14.356479	7.958038	4.335449	4.096573	0.260878	0.239109	0.260892	0.239122	
107000	-54.201614	95	2.970151	1.484533	1.981919	3.650107	0.187714	0.196235	0.301190	0.314861	
108000	-51.493729	17	5.030389	0.725571	0.238421	2.478725	0.097990	0.366888	0.112797	0.422325	
109000	-53.672697	57	11.478387	3.482907	2.040345	4.300436	0.240181	0.259545	0.240445	0.259829	
110000	-53.417385	39	15.955639	2.728600	1.945919	2.313065	0.321431	0.178579	0.321418	0.178572	
