"","ID","Glottocode","Parameter_ID","Form","speaker","mf","consonant","vowel","reduplication"
"78","v_ottowaojibwaotta1242-mM-2","otta1242","mM","nin mama","m","M",NA,NA,NA
"79","v_ottowaojibwaotta1242-mM-3","otta1242","mM","nimama","m","M",NA,NA,NA
"80","v_wiyotwiyo1248-mF-1","wiyo1248","mF","yidac","m","F",NA,NA,NA
"81","v_wiyotwiyo1248-mM-1","wiyo1248","mM","yidokar","m","M",NA,NA,NA
"82","v_yurokyuro1248-mF-1","yuro1248","mF","tot","m","F",NA,NA,NA
"83","v_yurokyuro1248-mM-1","yuro1248","mM","kok","m","M",NA,NA,NA
"84","v_baurebaur1253-mF-1","baur1253","mF","-i'a","m","F",NA,NA,NA
"85","v_baurebaur1253-mF-2","baur1253","mF","čač","m","F",NA,NA,NA
"86","v_baurebaur1253-mM-1","baur1253","mM","n-en","m","M",NA,NA,NA
"87","v_ignacianoigna1246-mF-1","igna1246","mF","tikačiča","m","F",NA,NA,NA
"88","v_ignacianoigna1246-mF-2","igna1246","mF","-iya","m","F",NA,NA,NA
"89","v_ignacianoigna1246-mF-3","igna1246","mF","iyare","m","F",NA,NA,NA
"90","v_ignacianoigna1246-mM-1","igna1246","mM","-'ena","m","M",NA,NA,NA
"91","v_ignacianoigna1246-mM-2","igna1246","mM","meme","m","M",NA,NA,NA
"92","v_mashcopiromash1270-mF-1","mash1270","mF","hi-rɨ","m","F",NA,NA,NA
"93","v_mashcopiromash1270-mF-2","mash1270","mF","pa-tɨ","m","F",NA,NA,NA
"94","v_mashcopiromash1270-mM-1","mash1270","mM","nato","m","M",NA,NA,NA
"95","v_mashcopiromash1270-mM-2","mash1270","mM","hin-ro","m","M",NA,NA,NA
"96","v_trinitariotrin1274-mF-1","trin1274","mF","tata","m","F",NA,NA,NA
"97","v_trinitariotrin1274-mM-1","trin1274","mM","-eno","m","M",NA,NA,NA
"98","v_trinitariotrin1274-mM-2","trin1274","mM","meme","m","M",NA,NA,NA
"99","v_wapishanawapi1253-mF-1","wapi1253","mF","-ˀdarɨ","m","F",NA,NA,NA
"100","v_wapishanawapi1253-mM-1","wapi1253","mM","-ˀdaru","m","M",NA,NA,NA
"101","v_waurawaur1244-mF-1","waur1244","mF","pa'pa","m","F",NA,NA,NA
"102","v_waurawaur1244-mF-2","waur1244","mF","-žɨ","m","F",NA,NA,NA
"103","v_waurawaur1244-mM-1","waur1244","mM","ma'ma","m","M",NA,NA,NA
"104","v_waurawaur1244-mM-2","waur1244","mM","-ɨnu","m","M",NA,NA,NA
"105","v_wayuuwayu1243-mF-1","wayu1243","mF","ta-ši","m","F",NA,NA,NA
"106","v_wayuuwayu1243-mM-1","wayu1243","mM","te-i","m","M",NA,NA,NA
"107","v_yaviteroyavi1244-mF-1","yavi1244","mF","ihi","m","F",NA,NA,NA
"108","v_yaviteroyavi1244-mM-1","yavi1244","mM","iľ̥uami","m","M",NA,NA,NA
"109","v_asutanzaniaasut1235-mF-1","asut1235","mF","vava","m","F",NA,NA,NA
"110","v_asutanzaniaasut1235-mM-1","asut1235","mM","mchékú","m","M",NA,NA,NA
"111","p_avatimeavat1244-mF-1","avat1244","mF","ɔka","m","F",NA,NA,NA
"112","p_avatimeavat1244-mM-1","avat1244","mM","one","m","M",NA,NA,NA
"113","v_bafiabafi1243-mM-1","bafi1243","mM","ǰℇ'ℇ","m","M",NA,NA,NA
