"","ID","new_id"
"117","p_balangaobala1310-mM-1",117
"118","v_tonganyasatong1321-mM-1",118
"119","p_morgan1871spokanespok1245-mM-1",119
"120","v_atsugewiatsu1245-mM-1",120
"121","v_sangusang1333-mF-1",121
"122","v_maorimaor1246-mF-1",122
"123","v_albaniantosktosk1239-mF-2",123
"124","p_tonseatons1240-mF-1",124
"125","v_kotakota1274-mF-1",125
"126","v_wiradjuriwira1262-mF-24",126
"127","p_morgan1871senecasene1264-mF-1",127
"128","p_maguindanaomagindonaomoromagu1243-mF-2",128
"129","v_rotumansrotu1241-mF-1",129
"130","p_kiputkipu1237-mF-1",130
"131","p_maskelynesmask1242-mF-1",131
"132","v_yortayortayort1237-mF-7",132
"133","p_vaovaoo1237-mF-1",133
"134","v_irishiris1253-mF-1",134
"135","v_gupapuyngugupa1247-mF-2",135
"136","v_malapandarammala1468-mF-3",136
"137","v_kuikuii1252-mF-5",137
"138","p_morgan1871tesuquetesu1245-mF-2",138
"139","p_maranaolanaomoromara1404-mF-1",139
"140","v_yuwaalaraaygami1243-mF-4",140
"141","v_ngulungul1246-mF-1",141
"142","v_pitjantjatjarapitj1243-mF-4",142
"143","v_avarhiddialecthidd1238-mF-2",143
"144","p_kashayakash1280-mF-1",144
"145","v_warumunguwaru1265-mF-1",145
"146","v_tarahumaracent2131-mF-4",146
"147","v_tarahumaracent2131-mF-2",147
"148","v_hinuqhinu1240-mF-1",148
"149","v_futunanseast2447-mF-1",149
"150","v_daridari1249-mF-2",150
"151","p_siesyesiee1239-mM-3",151
"152","p_jinguludjin1251-mM-1",152
"153","p_wogeowoge1237-mM-1",153
"154","v_hehehehe1240-mM-1",154
"155","v_northerntepehuannort2959-mM-1",155
"156","v_dingding1239-mM-4",156
"157","p_guuguyimidhirrgugu1255a-mM-1",157
"158","p_magammaga1262-mM-1",158
"159","v_comanchecoma1245-mM-1",159
"160","p_morgan1871tesuquetesu1245-mM-1",160
"161","p_tuvalunanumeatuva1244-mM-1",161
"162","v_oldaramaicolda1245-mM-1",162
"163","p_ilokanoilok1237-mM-1",163
"164","v_dhuwaldhuw1249-mM-5",164
"165","p_yandruwandhayand1253a-mM-1",165
"166","p_arabanaarab1267a-mM-1",166
"167","p_ilokanoilok1237-mM-2",167
"168","v_avaravar1256-mM-2",168
"169","p_guigwigwii1239-mM-2",169
"170","p_morgan1871dakotauncpapalako1247-mM-1",170
"171","p_sikasika1262-mM-1",171
"172","p_nagenage1237-mM-1",172
"173","p_tungagtung1290-mM-1",173
"174","p_eravesouthkewaerav1244-mM-1",174
"175","p_talisetolotali1259-mM-2",175
"176","v_trinitariotrin1274-mM-1",176
"177","v_mosetenchimanemose1249-mM-1",177
"178","v_dualadual1243-mM-2",178
"179","p_loniuloni1238-mM-2",179
"180","p_morgan1871arikaraarickareearik1262-mM-1",180
